dis_error	pos_error	height	width
0.0258775	-89.1925	58.457	49.9046
0.0255272	-89.1967	58.5026	49.922
0.0256993	-89.1951	58.4802	49.9285
0.0253544	-89.197	58.5252	49.9085
0.0252993	-89.1896	58.5324	49.9134
0.0255859	-89.1979	58.495	49.8917
0.0254908	-89.1928	58.5074	49.8892
0.0253931	-89.1979	58.5201	49.9054
0.0255182	-89.2031	58.5038	49.8949
0.0254728	-89.2006	58.5097	49.8716
0.0239596	-83.4502	58.7076	50.0064
0.030655	-65.968	57.8407	49.7687
0.0592746	-30.3492	54.3691	47.8307
0.078438	-12.3451	52.2366	46.2774
0.115275	23.7188	48.5104	43.6507
0.139979	51.3901	46.2518	41.6553
0.168351	74.2919	43.8639	39.8885
0.191179	88.632	42.0849	38.3017
0.20709	85.3622	40.9129	37.2352
0.215465	80.1292	40.3169	36.8517
0.216729	61.2889	40.2282	36.8802
0.210796	21.2468	40.6474	36.889
0.205197	-9.97296	41.0496	37.0796
0.207826	-19.7426	40.86	36.3429
0.187813	-76.0466	42.3398	37.1173
0.179059	-104.156	43.0146	37.0757
0.165623	-147.248	44.0846	36.6994
0.162837	-169.256	44.312	36.2499
0.154694	-193.996	44.9875	35.4253
0.150178	-215.698	45.3695	34.389
0.146293	-227.011	45.7023	33.8752
0.150908	-237.279	45.3073	33.3799
0.149778	-208.09	45.4035	33.4384
0.145262	-189.066	45.7913	32.7931
0.147767	-176.1	45.5755	32.7676
0.145002	-161.175	45.8137	32.5101
0.139151	-129.789	46.3247	32.672
0.133816	-103.306	46.7988	32.9956
0.139855	-65.7594	46.2627	33.2549
0.136729	-40.6421	46.5389	33.2523
0.132838	-3.7515	46.8866	34.3941
0.124845	9.38412	47.6142	35.1158
0.120401	43.3201	48.027	35.8134
0.116688	68.2671	48.3764	36.1181
0.110027	71.7345	49.0138	36.7141
0.100608	77.3109	49.9392	37.733
0.0976709	83.8268	50.2338	38.1015
0.0945323	87.3609	50.5518	38.9778
0.0960494	89.0336	50.3977	39.9881
0.0952216	84.0109	50.4817	40.0986
0.0975663	77.7963	50.2444	40.4769
0.103421	73.7402	49.6598	40.5298
0.111446	68.8614	48.8769	40.4376
0.116799	60.2126	48.3658	40.1963
0.123606	51.2694	47.7288	40.1791
0.132264	41.6613	46.9382	39.9605
0.135999	36.5446	46.6039	39.7648
0.141371	22.7456	46.1298	39.7086
0.142874	12.592	45.9985	39.5037
0.146862	-9.56393	45.6533	38.0254
0.149365	-16.9589	45.4388	36.9782
0.151063	-33.3312	45.2942	35.0087
0.147681	-47.5725	45.5829	33.8067
0.146519	-56.859	45.6828	32.4789
0.143637	-59.5099	45.9321	31.8667
0.135162	-59.2836	46.6784	30.4536
0.135162	-59.2836	47.0279	29.3667
0.135162	-59.2836	43.4936	24.4175
0.135162	-59.2836	48.2012	26.9546
0.135162	-59.2836	49.0024	25.6502
0.135162	-59.2836	49.8061	25.3467
0.135162	-59.2836	50.9941	24.9393
0.135162	-59.2836	50.9491	22.9396
0.135162	-59.2836	53.2732	23.437
0.135162	-59.2836	54.2675	23.8686
0.135162	-59.2836	57.0272	23.3025
0.135162	-59.2836	51.7353	19.4239
0.135162	-59.2836	61.0548	23.7929
0.135162	-59.2836	63.6104	24.8854
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
0.135162	-59.2836	65.1498	25.7349
